anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,max_alignment_age,memory_capacity,write_count,witness_expired,release_count,delayed_retention,witness_conversion,pollution,mean_alignment_latency,return_interval_diversity,phase_lock_resistance,contact_ring_rate,center_share,rigidity_after_perturbation,composite_score,surrogate_base_score
golden,phi_anchor,one_light_recurrence,One Light,0.5700339887498947,-0.048,0.18,0.0,0.0,4096,4,34,0.0,248.0,3848.0,0.0,0.0,0.0,4.0,0.0,0.5333467979194157,0.273681640625,0.114501953125,0.668701171875,0.4567285362926014,0.3813379112926014
golden,phi_anchor,one_light_recurrence,One Light,0.5760339887498948,-0.042,0.18,0.0,0.0,4096,4,34,0.0,299.0,3797.0,0.0,0.0,0.0,4.0,0.0,0.5657256235098194,0.273681640625,0.115234375,0.669677734375,0.4678154619933386,0.3923467119933386
golden,phi_anchor,one_light_recurrence,One Light,0.5820339887498948,-0.036000000000000004,0.18,0.0,0.0,4096,4,34,0.0,348.0,3747.0,0.0,0.0,0.0,4.0,0.0,0.5286513927233423,0.273681640625,0.115478515625,0.667724609375,0.4550539735259364,0.3797414735259364
golden,phi_anchor,one_light_recurrence,One Light,0.5880339887498948,-0.030000000000000006,0.18,0.0,0.0,4096,4,34,0.0,397.0,3698.0,0.0,0.0,0.0,4.0,0.0,0.25607255013646213,0.2734375,0.115234375,0.66845703125,0.36241622954639713,0.28706466704639716
golden,phi_anchor,one_light_recurrence,One Light,0.5940339887498948,-0.024000000000000007,0.18,0.0,0.0,4096,4,34,0.0,446.0,3649.0,0.0,0.0,0.0,4.0,0.0,0.5046227372986947,0.274169921875,0.115234375,0.668212890625,0.44696235568155623,0.37157173068155624
golden,phi_anchor,one_light_recurrence,One Light,0.6000339887498948,-0.01800000000000001,0.18,0.0,0.0,4096,4,34,0.0,339.0,3757.0,0.0,0.0,0.0,4.0,0.0,0.20433246334639088,0.27392578125,0.082763671875,0.66552734375,0.3446292875377729,0.2694730375377729
golden,phi_anchor,one_light_recurrence,One Light,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.0,4096,4,34,0.0,418.0,3678.0,0.0,0.0,0.0,4.0,0.0,0.39894821395265423,0.2734375,0.11474609375,0.66845703125,0.4109939552439024,0.33564239274390245
golden,phi_anchor,one_light_recurrence,One Light,0.6120339887498948,-0.006000000000000012,0.18,0.0,0.0,4096,4,34,0.0,347.0,3748.0,0.0,0.0,0.0,4.0,0.0,0.5287240760000205,0.273681640625,0.115478515625,0.67138671875,0.455371654590007,0.379766185840007
golden,phi_anchor,one_light_recurrence,One Light,0.6180339887498948,-1.3877787807814457e-17,0.18,0.0,0.0,4096,4,34,0.0,273.0,3823.0,0.0,0.0,0.0,4.0,0.0,0.5641893273629439,0.27392578125,0.11474609375,0.6689453125,0.467254058803401,0.391824371303401
golden,phi_anchor,one_light_recurrence,One Light,0.6240339887498948,0.0059999999999999845,0.18,0.0,0.0,4096,4,34,37.0,236.0,3785.0,0.13553113553113552,0.046365914786967416,1.0,3.0,0.0,0.5105568120936712,0.27392578125,0.115966796875,0.66796875,0.2952354612222203,0.2198838987222203
golden,phi_anchor,one_light_recurrence,One Light,0.6300339887498948,0.011999999999999983,0.18,0.0,0.0,4096,4,34,110.0,236.0,3640.0,0.3179190751445087,0.13819095477386933,1.0,3.0,0.0,0.543467313738651,0.274169921875,0.115234375,0.668212890625,0.37406122457090024,0.29867059957090025
golden,phi_anchor,one_light_recurrence,One Light,0.6360339887498948,0.01799999999999998,0.18,0.0,0.0,4096,4,34,183.0,237.0,3492.0,0.4357142857142857,0.22961104140526975,1.0,3.0,0.0,0.22859283414235476,0.27392578125,0.114990234375,0.668212890625,0.3164226448113492,0.2410515510613492
golden,phi_anchor,one_light_recurrence,One Light,0.6420339887498948,0.02399999999999998,0.18,0.0,0.0,4096,4,34,237.0,236.0,3386.0,0.5010570824524313,0.2973651191969887,1.0,3.0,0.0,0.5410800632951951,0.2734375,0.115478515625,0.6689453125,0.4531795510625051,0.37778892606250514
golden,phi_anchor,one_light_recurrence,One Light,0.6480339887498948,0.029999999999999978,0.18,0.0,0.0,4096,4,34,223.0,235.0,3415.0,0.4868995633187773,0.28015075376884424,1.0,3.0,0.0,0.5651076742139849,0.2744140625,0.114990234375,0.6689453125,0.4543643726404046,0.37889562264040455
golden,phi_anchor,one_light_recurrence,One Light,0.6540339887498947,0.035999999999999976,0.18,0.0,0.0,4096,4,34,74.0,236.0,3712.0,0.23870967741935484,0.09296482412060302,1.0,3.0,0.0,0.5247720044398965,0.27392578125,0.115234375,0.66943359375,0.33746360952869275,0.2619948595286927
golden,phi_anchor,one_light_recurrence,One Light,0.6600339887498947,0.041999999999999975,0.18,0.0,0.0,4096,4,34,73.0,236.0,3714.0,0.23624595469255663,0.09170854271356783,1.0,3.0,0.0,0.4595893036272144,0.27392578125,0.115234375,0.67041015625,0.314463643235611,0.23891676823561098
golden,phi_anchor,one_light_recurrence,One Light,0.6660339887498947,0.04799999999999997,0.18,0.0,0.0,4096,4,34,2.0,238.0,3853.0,0.008333333333333333,0.00245398773006135,1.0,3.0,0.0,0.20909983543645616,0.2734375,0.116943359375,0.666259765625,0.14904477642313949,0.07386899517313948
golden,phi_anchor,one_light_recurrence,One Light,0.5700339887498947,-0.048,0.18,0.0,0.0,4096,8,34,8.0,160.0,3920.0,0.047619047619047616,0.010062893081761006,1.0,7.0,0.0,0.5333467979194157,0.273681640625,0.114501953125,0.668701171875,0.2718731903806517,0.1964825653806517
golden,phi_anchor,one_light_recurrence,One Light,0.5760339887498948,-0.042,0.18,0.0,0.0,4096,8,34,75.0,132.0,3813.0,0.36231884057971014,0.0942211055276382,1.0,5.906666666666666,0.1685612162477106,0.5657256235098194,0.273681640625,0.115234375,0.669677734375,0.40308065797540343,0.31075578635063233
golden,phi_anchor,one_light_recurrence,One Light,0.5820339887498948,-0.036000000000000004,0.18,0.0,0.0,4096,8,34,260.0,44.0,3531.0,0.8552631578947368,0.32622333751568383,1.0,6.469230769230769,0.13650395453756767,0.5286513927233423,0.273681640625,0.115478515625,0.667724609375,0.5668982539430426,0.4779353584892858
golden,phi_anchor,one_light_recurrence,One Light,0.5880339887498948,-0.030000000000000006,0.18,0.0,0.0,4096,8,34,93.0,152.0,3757.0,0.3795918367346939,0.11683417085427136,1.0,6.78494623655914,0.09131448677505469,0.25607255013646213,0.2734375,0.115234375,0.66845703125,0.2988635432633857,0.21438053208588026
golden,phi_anchor,one_light_recurrence,One Light,0.5940339887498948,-0.024000000000000007,0.18,0.0,0.0,4096,8,34,42.0,202.0,3809.0,0.1721311475409836,0.052763819095477386,1.0,5.0,0.0,0.5046227372986947,0.274169921875,0.115234375,0.668212890625,0.30465656443021755,0.22926593943021756
golden,phi_anchor,one_light_recurrence,One Light,0.6000339887498948,-0.01800000000000001,0.18,0.0,0.0,4096,8,34,1.0,169.0,3925.0,0.0058823529411764705,0.0012453300124533001,1.0,5.0,0.0,0.20433246334639088,0.27392578125,0.082763671875,0.66552734375,0.14650050576354393,0.07134425576354392
golden,phi_anchor,one_light_recurrence,One Light,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.0,4096,8,34,76.0,171.0,3773.0,0.3076923076923077,0.09535759096612297,1.0,5.0,0.0,0.39894821395265423,0.2734375,0.11474609375,0.66845703125,0.3143121677716507,0.23896060527165075
golden,phi_anchor,one_light_recurrence,One Light,0.6120339887498948,-0.006000000000000012,0.18,0.0,0.0,4096,8,34,146.0,101.0,3703.0,0.5910931174089069,0.18341708542713567,1.0,7.773972602739726,0.1018564697736697,0.5287240760000205,0.273681640625,0.115478515625,0.67138671875,0.46407844981875235,0.3782873340913854
golden,phi_anchor,one_light_recurrence,One Light,0.6180339887498948,-1.3877787807814457e-17,0.18,0.0,0.0,4096,8,34,183.0,45.0,3685.0,0.8026315789473685,0.2304785894206549,1.0,8.0,0.0,0.5641893273629439,0.27392578125,0.11474609375,0.6689453125,0.533477047004382,0.458047359504382
golden,phi_anchor,one_light_recurrence,One Light,0.6240339887498948,0.0059999999999999845,0.18,0.0,0.0,4096,8,34,82.0,127.0,3804.0,0.3923444976076555,0.10275689223057644,1.0,4.426829268292683,0.35460228013353234,0.5105568120936712,0.27392578125,0.115966796875,0.66796875,0.41275380655684873,0.3019420160434955
golden,phi_anchor,one_light_recurrence,One Light,0.6300339887498948,0.011999999999999983,0.18,0.0,0.0,4096,8,34,55.0,126.0,3860.0,0.30386740331491713,0.06909547738693467,1.0,6.545454545454546,0.34694433319135004,0.543467313738651,0.274169921875,0.115234375,0.668212890625,0.3923840038481014,0.2822989455289664
golden,phi_anchor,one_light_recurrence,One Light,0.6360339887498948,0.01799999999999998,0.18,0.0,0.0,4096,8,34,311.0,50.0,3423.0,0.8614958448753463,0.39021329987452946,1.0,6.006430868167203,0.4075911805860981,0.22859283414235476,0.27392578125,0.114990234375,0.668212890625,0.5053090059595227,0.38917879415091283
golden,phi_anchor,one_light_recurrence,One Light,0.6420339887498948,0.02399999999999998,0.18,0.0,0.0,4096,8,34,5.0,234.0,3852.0,0.02092050209205021,0.006273525721455458,1.0,5.0,0.489897948458656,0.5410800632951951,0.2734375,0.115478515625,0.6689453125,0.31533461658186795,0.1909541967360024
golden,phi_anchor,one_light_recurrence,One Light,0.6480339887498948,0.029999999999999978,0.18,0.0,0.0,4096,8,34,201.0,228.0,3465.0,0.46853146853146854,0.25251256281407036,1.0,3.0,0.0,0.5651076742139849,0.2744140625,0.114990234375,0.6689453125,0.4442464317280988,0.36877768172809877
golden,phi_anchor,one_light_recurrence,One Light,0.6540339887498947,0.035999999999999976,0.18,0.0,0.0,4096,8,34,155.0,155.0,3631.0,0.5,0.19472361809045227,1.0,4.567741935483871,0.32805477706116165,0.5247720044398965,0.27392578125,0.115234375,0.66943359375,0.46174696047196245,0.35347273276584623
golden,phi_anchor,one_light_recurrence,One Light,0.6600339887498947,0.041999999999999975,0.18,0.0,0.0,4096,8,34,9.0,154.0,3924.0,0.05521472392638037,0.011306532663316583,1.0,6.0,0.0,0.4595893036272144,0.27392578125,0.115234375,0.67041015625,0.2493025368120364,0.1737556618120364
golden,phi_anchor,one_light_recurrence,One Light,0.6660339887498947,0.04799999999999997,0.18,0.0,0.0,4096,8,34,2.0,158.0,3933.0,0.0125,0.00245398773006135,1.0,3.0,0.0,0.20909983543645616,0.2734375,0.116943359375,0.666259765625,0.15021144308980613,0.07503566183980614
golden,phi_anchor,one_light_recurrence,One Light,0.5700339887498947,-0.048,0.18,0.0,0.0,4096,13,34,7.0,120.0,3961.0,0.05511811023622047,0.00880503144654088,1.0,7.0,0.0,0.5333467979194157,0.273681640625,0.114501953125,0.668701171875,0.2737465128191205,0.19835588781912047
golden,phi_anchor,one_light_recurrence,One Light,0.5760339887498948,-0.042,0.18,0.0,0.0,4096,13,34,28.0,104.0,3935.0,0.21212121212121213,0.035175879396984924,1.0,12.0,0.0,0.5657256235098194,0.273681640625,0.115234375,0.669677734375,0.3335410596787353,0.2580723096787353
golden,phi_anchor,one_light_recurrence,One Light,0.5820339887498948,-0.036000000000000004,0.18,0.0,0.0,4096,13,34,304.0,0.0,3487.0,1.0,0.38143036386449186,1.0,7.269736842105263,0.2902918597393928,0.5286513927233423,0.273681640625,0.115478515625,0.667724609375,0.6327406249954842,0.5283989390215449
golden,phi_anchor,one_light_recurrence,One Light,0.5880339887498948,-0.030000000000000006,0.18,0.0,0.0,4096,13,34,245.0,0.0,3605.0,1.0,0.30778894472361806,1.0,10.020408163265307,0.2554202102651965,0.25607255013646213,0.2734375,0.115234375,0.66845703125,0.5233602606231681,0.4224666770966484
golden,phi_anchor,one_light_recurrence,One Light,0.5940339887498948,-0.024000000000000007,0.18,0.0,0.0,4096,13,34,80.0,121.0,3814.0,0.39800995024875624,0.10050251256281408,1.0,5.0625,0.10973079525382587,0.5046227372986947,0.274169921875,0.115234375,0.668212890625,0.38746867353789705,0.3011049690125145
golden,phi_anchor,one_light_recurrence,One Light,0.6000339887498948,-0.01800000000000001,0.18,0.0,0.0,4096,13,34,0.0,113.0,3983.0,0.0,0.0,0.0,13.0,0.0,0.20433246334639088,0.27392578125,0.082763671875,0.66552734375,0.3446292875377729,0.2694730375377729
golden,phi_anchor,one_light_recurrence,One Light,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.0,4096,13,34,48.0,123.0,3877.0,0.2807017543859649,0.060225846925972396,1.0,5.104166666666667,0.1399113183481203,0.39894821395265423,0.2734375,0.11474609375,0.66845703125,0.31442223075345965,0.22507953641864764
golden,phi_anchor,one_light_recurrence,One Light,0.6120339887498948,-0.006000000000000012,0.18,0.0,0.0,4096,13,34,246.0,0.0,3603.0,1.0,0.30904522613065327,1.0,9.898373983739837,0.2665500224587914,0.5287240760000205,0.273681640625,0.115478515625,0.67138671875,0.6176547975394037,0.5153943265435246
golden,phi_anchor,one_light_recurrence,One Light,0.6180339887498948,-1.3877787807814457e-17,0.18,0.0,0.0,4096,13,34,220.0,8.0,3648.0,0.9649122807017544,0.2770780856423174,1.0,8.840909090909092,0.2115323555253866,0.5641893273629439,0.27392578125,0.11474609375,0.6689453125,0.6084567883680481,0.5118738653155094
golden,phi_anchor,one_light_recurrence,One Light,0.6240339887498948,0.0059999999999999845,0.18,0.0,0.0,4096,13,34,82.0,95.0,3836.0,0.4632768361581921,0.10275689223057644,1.0,4.426829268292683,0.35460228013353234,0.5105568120936712,0.27392578125,0.115966796875,0.66796875,0.43261486135099897,0.32180307083764575
golden,phi_anchor,one_light_recurrence,One Light,0.6300339887498948,0.011999999999999983,0.18,0.0,0.0,4096,13,34,94.0,71.0,3837.0,0.5696969696969697,0.11809045226130653,1.0,9.75531914893617,0.1515184668578737,0.543467313738651,0.274169921875,0.115234375,0.668212890625,0.45609279127911545,0.36555031959332807
golden,phi_anchor,one_light_recurrence,One Light,0.6360339887498948,0.01799999999999998,0.18,0.0,0.0,4096,13,34,318.0,29.0,3430.0,0.9164265129682997,0.3989962358845671,1.0,6.1069182389937104,0.4121292075892125,0.22859283414235476,0.27392578125,0.114990234375,0.668212890625,0.5227243242076679,0.4061403096987466
golden,phi_anchor,one_light_recurrence,One Light,0.6420339887498948,0.02399999999999998,0.18,0.0,0.0,4096,13,34,239.0,0.0,3618.0,1.0,0.2998745294855709,1.0,10.874476987447698,0.08542266759593206,0.5410800632951951,0.2734375,0.115478515625,0.6689453125,0.6018775285873623,0.5179446368277691
golden,phi_anchor,one_light_recurrence,One Light,0.6480339887498948,0.029999999999999978,0.18,0.0,0.0,4096,13,34,29.0,200.0,3837.0,0.12663755458515283,0.0364321608040201,1.0,10.724137931034482,0.13611582306458553,0.5651076742139849,0.2744140625,0.114990234375,0.6689453125,0.3232332457677799,0.2341529134613213
golden,phi_anchor,one_light_recurrence,One Light,0.6540339887498947,0.035999999999999976,0.18,0.0,0.0,4096,13,34,155.0,155.0,3631.0,0.5,0.19472361809045227,1.0,4.567741935483871,0.32805477706116165,0.5247720044398965,0.27392578125,0.115234375,0.66943359375,0.46174696047196245,0.35347273276584623
golden,phi_anchor,one_light_recurrence,One Light,0.6600339887498947,0.041999999999999975,0.18,0.0,0.0,4096,13,34,82.0,81.0,3851.0,0.5030674846625767,0.10301507537688442,1.0,8.670731707317072,0.10815194613078669,0.4595893036272144,0.27392578125,0.115234375,0.67041015625,0.4020240421196923,0.3156619725066136
golden,phi_anchor,one_light_recurrence,One Light,0.6660339887498947,0.04799999999999997,0.18,0.0,0.0,4096,13,34,2.0,95.0,3996.0,0.020618556701030927,0.00245398773006135,1.0,3.0,0.0,0.20909983543645616,0.2734375,0.116943359375,0.666259765625,0.1524846389660948,0.0773088577160948
golden,phi_anchor,one_light_recurrence,One Light,0.5700339887498947,-0.048,0.18,0.0,0.011,4096,4,34,78.0,235.0,3705.0,0.24920127795527156,0.09798994974874371,1.0,2.0,0.0,0.5233825850364948,0.273681640625,0.11474609375,0.67041015625,0.3408919714446582,0.2653646276946582
golden,phi_anchor,one_light_recurrence,One Light,0.5760339887498948,-0.042,0.18,0.0,0.011,4096,4,34,27.0,236.0,3806.0,0.10266159695817491,0.033962264150943396,1.0,2.0,0.0,0.5740630120682271,0.273681640625,0.11474609375,0.6689453125,0.30545003504865603,0.230039878798656
golden,phi_anchor,one_light_recurrence,One Light,0.5820339887498948,-0.036000000000000004,0.18,0.0,0.011,4096,4,34,0.0,262.0,3834.0,0.0,0.0,0.0,4.0,0.0,0.2126168322758647,0.273681640625,0.116943359375,0.66845703125,0.347660816723794,0.272289722973794
golden,phi_anchor,one_light_recurrence,One Light,0.5880339887498948,-0.030000000000000006,0.18,0.0,0.011,4096,4,34,0.0,307.0,3789.0,0.0,0.0,0.0,4.0,0.0,0.3522346695368548,0.2734375,0.114990234375,0.6708984375,0.3953066626425306,0.31975978764253066
golden,phi_anchor,one_light_recurrence,One Light,0.5940339887498948,-0.024000000000000007,0.18,0.0,0.011,4096,4,34,0.0,357.0,3739.0,0.0,0.0,0.0,4.0,0.0,0.2189075485495856,0.274169921875,0.114990234375,0.673583984375,0.3502488790068591,0.2744285665068591
golden,phi_anchor,one_light_recurrence,One Light,0.6000339887498948,-0.01800000000000001,0.18,0.0,0.011,4096,4,34,0.0,404.0,3692.0,0.0,0.0,0.0,4.0,0.0,0.5018515475303973,0.27392578125,0.114501953125,0.668701171875,0.44603968241033504,0.37062952616033507
golden,phi_anchor,one_light_recurrence,One Light,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.011,4096,4,34,0.0,454.0,3642.0,0.0,0.0,0.0,4.0,0.0,0.5273946835711361,0.2734375,0.114990234375,0.670166015625,0.45480247366418625,0.3793141924141863
